Codes,Names,violence_year_minus_3,violence_year_minus_2,violence_year_minus_1,violence_now,violence_2012
E01002850,Kensington and Chelsea 013D,45,53,67,43,70
E01002851,Kensington and Chelsea 015D,32,38,33,46,46
E01002852,Kensington and Chelsea 001A,102,82,74,85,104
E01002853,Kensington and Chelsea 001B,29,35,18,29,24
E01002854,Kensington and Chelsea 001C,43,36,36,42,44
E01002855,Kensington and Chelsea 001D,60,59,70,44,57
E01002856,Kensington and Chelsea 004E,62,57,49,54,64
E01002857,Kensington and Chelsea 001E,30,34,33,30,28
E01002858,Kensington and Chelsea 014C,16,11,19,31,16
E01002859,Kensington and Chelsea 012C,28,21,21,31,17
E01002860,Kensington and Chelsea 012D,6,18,10,13,20
E01002861,Kensington and Chelsea 014D,29,17,20,16,18
E01002862,Kensington and Chelsea 014E,24,35,20,16,29
E01002863,Kensington and Chelsea 012E,11,15,11,7,12
E01002864,Kensington and Chelsea 009A,13,9,19,22,15
E01002865,Kensington and Chelsea 011E,20,17,12,11,18
E01002866,Kensington and Chelsea 009B,31,28,27,34,25
E01002867,Kensington and Chelsea 009C,29,31,27,32,20
E01002868,Kensington and Chelsea 009D,7,9,11,7,8
E01002869,Kensington and Chelsea 009E,17,15,30,20,27
E01002870,Kensington and Chelsea 005A,53,33,48,27,35
E01002871,Kensington and Chelsea 007B,38,36,34,26,32
E01002872,Kensington and Chelsea 005B,15,28,31,19,26
E01002873,Kensington and Chelsea 007C,17,16,15,12,24
E01002874,Kensington and Chelsea 007D,22,16,11,18,14
E01002875,Kensington and Chelsea 007E,16,11,15,17,11
E01002876,Kensington and Chelsea 003A,26,25,29,26,19
E01002877,Kensington and Chelsea 003B,45,49,55,38,51
E01002878,Kensington and Chelsea 003C,46,52,39,28,46
E01002879,Kensington and Chelsea 005C,52,39,49,50,33
E01002880,Kensington and Chelsea 005D,35,30,39,32,28
E01002881,Kensington and Chelsea 005E,36,25,24,22,20
E01002882,Kensington and Chelsea 006A,20,21,16,21,11
E01002883,Kensington and Chelsea 006B,59,47,49,46,34
E01002884,Kensington and Chelsea 006C,34,49,47,42,42
E01002885,Kensington and Chelsea 006D,13,16,20,18,7
E01002886,Kensington and Chelsea 006E,17,15,13,16,16
E01002887,Kensington and Chelsea 010A,18,20,14,15,10
E01002888,Kensington and Chelsea 013E,15,10,15,11,8
E01002889,Kensington and Chelsea 010B,59,68,48,50,40
E01002890,Kensington and Chelsea 010C,8,8,11,6,7
E01002891,Kensington and Chelsea 010D,11,5,8,8,6
E01002892,Kensington and Chelsea 010E,12,9,10,10,11
E01002893,Kensington and Chelsea 017C,25,24,25,14,26
E01002894,Kensington and Chelsea 017D,35,41,42,30,27
E01002895,Kensington and Chelsea 020B,5,14,12,13,12
E01002896,Kensington and Chelsea 020C,22,19,24,19,14
E01002897,Kensington and Chelsea 020D,22,20,25,14,9
E01002898,Kensington and Chelsea 017E,11,9,8,9,16
E01002899,Kensington and Chelsea 018A,29,20,35,39,24
E01002900,Kensington and Chelsea 018B,7,11,17,8,8
E01002901,Kensington and Chelsea 018C,6,12,10,19,8
E01002902,Kensington and Chelsea 018D,25,22,22,23,24
E01002903,Kensington and Chelsea 018E,17,16,14,18,21
E01002904,Kensington and Chelsea 002A,25,27,21,21,23
E01002905,Kensington and Chelsea 002B,64,45,58,37,31
E01002906,Kensington and Chelsea 002C,49,72,87,76,95
E01002907,Kensington and Chelsea 002D,24,20,13,16,15
E01002908,Kensington and Chelsea 003D,49,29,34,28,25
E01002909,Kensington and Chelsea 003E,29,30,30,23,28
E01002910,Kensington and Chelsea 019C,14,10,11,4,8
E01002911,Kensington and Chelsea 019D,24,16,20,14,23
E01002912,Kensington and Chelsea 020E,66,64,87,52,61
E01002913,Kensington and Chelsea 021E,31,33,21,27,23
E01002914,Kensington and Chelsea 019E,38,34,37,24,18
E01002915,Kingston upon Thames 014A,7,6,5,9,10
E01002916,Kingston upon Thames 014B,8,8,6,8,17
E01002917,Kingston upon Thames 014C,1,3,4,8,3
E01002918,Kingston upon Thames 017A,17,15,19,12,12
E01002919,Kingston upon Thames 017B,25,44,40,41,33
E01002920,Kingston upon Thames 014D,5,7,4,10,5
E01002921,Kingston upon Thames 011A,14,17,10,23,19
E01002922,Kingston upon Thames 010A,2,12,15,8,7
E01002923,Kingston upon Thames 013A,23,22,17,27,22
E01002924,Kingston upon Thames 014E,2,4,6,0,4
E01002925,Kingston upon Thames 013B,17,17,15,9,16
E01002926,Kingston upon Thames 010B,5,9,8,3,8
E01002927,Kingston upon Thames 008A,11,21,13,14,16
E01002928,Kingston upon Thames 008B,19,14,19,17,11
E01002929,Kingston upon Thames 007A,6,6,10,13,9
E01002930,Kingston upon Thames 007B,44,40,42,40,52
E01002931,Kingston upon Thames 007C,14,15,15,12,16
E01002932,Kingston upon Thames 006A,38,41,29,32,32
E01002933,Kingston upon Thames 004A,21,10,18,11,12
E01002934,Kingston upon Thames 004B,10,8,6,8,9
E01002935,Kingston upon Thames 003A,19,17,14,14,24
E01002936,Kingston upon Thames 004C,40,42,50,48,38
E01002937,Kingston upon Thames 004D,9,8,12,7,7
E01002938,Kingston upon Thames 003B,8,6,7,8,8
E01002939,Kingston upon Thames 018A,33,19,16,18,15
E01002940,Kingston upon Thames 020A,17,12,18,17,12
E01002941,Kingston upon Thames 018B,28,24,19,22,24
