Codes,Names,violence_year_minus_3,violence_year_minus_2,violence_year_minus_1,violence_now,violence_2012
E01000001,City of London 001A,n/a,n/a,n/a,n/a,n/a
E01000002,City of London 001B,n/a,n/a,n/a,n/a,n/a
E01000003,City of London 001C,n/a,n/a,n/a,n/a,n/a
E01000004,City of London 001D,n/a,n/a,n/a,n/a,n/a
E01000005,City of London 001E,n/a,n/a,n/a,n/a,n/a
E01000006,Barking and Dagenham 016A,34,25,26,20,23
E01000007,Barking and Dagenham 015A,117,133,118,108,94
E01000008,Barking and Dagenham 015B,41,42,51,31,25
E01000009,Barking and Dagenham 016B,93,83,61,86,57
E01000010,Barking and Dagenham 015C,258,279,254,239,194
E01000011,Barking and Dagenham 016C,36,41,34,31,32
E01000012,Barking and Dagenham 015D,36,64,41,36,50
E01000013,Barking and Dagenham 013A,103,85,68,76,78
E01000014,Barking and Dagenham 013B,43,27,38,32,31
E01000015,Barking and Dagenham 009A,56,67,70,59,43
E01000016,Barking and Dagenham 009B,30,41,32,22,35
E01000017,Barking and Dagenham 009C,18,23,37,23,22
E01000018,Barking and Dagenham 009D,24,37,39,31,29
E01000019,Barking and Dagenham 005A,28,27,25,18,24
E01000020,Barking and Dagenham 005B,28,37,38,37,25
E01000021,Barking and Dagenham 008A,51,62,37,47,42
E01000022,Barking and Dagenham 008B,31,18,30,18,16
E01000023,Barking and Dagenham 008C,38,37,24,39,32
E01000024,Barking and Dagenham 008D,21,20,20,10,14
E01000025,Barking and Dagenham 008E,32,39,32,22,18
E01000026,Barking and Dagenham 005C,67,51,50,48,40
E01000027,Barking and Dagenham 001A,63,55,46,24,45
E01000028,Barking and Dagenham 001B,30,31,37,39,30
E01000029,Barking and Dagenham 001C,25,19,13,7,12
E01000030,Barking and Dagenham 001D,80,71,65,51,39
E01000031,Barking and Dagenham 002A,33,27,37,22,28
E01000032,Barking and Dagenham 002B,62,36,35,44,35
E01000033,Barking and Dagenham 006A,40,58,28,29,43
E01000034,Barking and Dagenham 003A,47,39,35,21,41
E01000035,Barking and Dagenham 010A,62,71,46,50,46
E01000036,Barking and Dagenham 010B,57,42,27,26,22
E01000037,Barking and Dagenham 003B,15,16,20,18,12
E01000038,Barking and Dagenham 003C,20,14,14,14,9
E01000039,Barking and Dagenham 003D,24,21,12,10,16
E01000040,Barking and Dagenham 019A,49,45,38,38,26
E01000041,Barking and Dagenham 017A,30,27,36,19,19
E01000042,Barking and Dagenham 017B,64,62,70,42,34
E01000043,Barking and Dagenham 019B,18,16,14,27,22
E01000044,Barking and Dagenham 016D,30,38,39,26,46
E01000045,Barking and Dagenham 017C,60,65,61,49,45
E01000046,Barking and Dagenham 017D,27,36,39,22,18
E01000047,Barking and Dagenham 021A,102,100,101,114,95
E01000048,Barking and Dagenham 021B,53,49,30,36,27
E01000049,Barking and Dagenham 021C,53,38,40,31,35
E01000050,Barking and Dagenham 019C,46,46,39,45,30
E01000051,Barking and Dagenham 021D,59,45,66,38,35
E01000052,Barking and Dagenham 019D,35,45,40,36,30
E01000053,Barking and Dagenham 020A,41,58,68,61,39
E01000054,Barking and Dagenham 018A,29,22,30,20,36
E01000055,Barking and Dagenham 018B,39,42,39,26,22
E01000056,Barking and Dagenham 018C,68,50,54,40,37
E01000057,Barking and Dagenham 012A,64,54,60,50,42
E01000058,Barking and Dagenham 018D,36,41,38,25,28
E01000059,Barking and Dagenham 013C,40,40,34,28,24
E01000060,Barking and Dagenham 006B,113,67,61,55,64
E01000061,Barking and Dagenham 006C,79,97,78,68,57
E01000062,Barking and Dagenham 006D,36,44,46,16,23
E01000063,Barking and Dagenham 004A,19,33,36,25,19
E01000064,Barking and Dagenham 006E,55,41,47,47,51
E01000065,Barking and Dagenham 007A,41,51,27,26,16
E01000066,Barking and Dagenham 011A,22,32,27,34,32
E01000067,Barking and Dagenham 011B,24,30,28,24,13
E01000068,Barking and Dagenham 016E,34,42,46,31,19
E01000069,Barking and Dagenham 011C,27,22,12,12,15
E01000070,Barking and Dagenham 011D,48,45,46,45,35
E01000071,Barking and Dagenham 011E,22,30,32,39,19
E01000072,Barking and Dagenham 017E,84,68,65,52,56
E01000073,Barking and Dagenham 012B,31,32,36,17,25
E01000074,Barking and Dagenham 012C,38,26,36,24,28
E01000075,Barking and Dagenham 012D,63,64,55,36,26
E01000076,Barking and Dagenham 012E,40,47,33,29,28
E01000077,Barking and Dagenham 008F,59,43,38,50,33
E01000078,Barking and Dagenham 007B,55,35,53,38,38
E01000079,Barking and Dagenham 009E,33,48,23,25,21
E01000080,Barking and Dagenham 007C,50,53,32,34,31
E01000081,Barking and Dagenham 007D,18,26,28,24,27
E01000082,Barking and Dagenham 007E,52,52,40,48,32
E01000083,Barking and Dagenham 007F,56,49,33,29,32
E01000084,Barking and Dagenham 013D,53,48,49,43,29
E01000085,Barking and Dagenham 013E,47,62,54,39,35
E01000086,Barking and Dagenham 013F,35,30,21,32,29
E01000087,Barking and Dagenham 020B,56,63,39,44,38
E01000088,Barking and Dagenham 020C,30,47,39,42,27
E01000089,Barking and Dagenham 020D,43,33,30,21,26
E01000090,Barking and Dagenham 020E,30,33,28,36,26
E01000091,Barking and Dagenham 022A,59,54,51,26,23
E01000092,Barking and Dagenham 019E,52,42,52,40,52
E01000093,Barking and Dagenham 022B,64,56,53,49,38
E01000094,Barking and Dagenham 022C,39,33,29,16,17
E01000095,Barking and Dagenham 018E,101,108,86,78,54
E01000096,Barking and Dagenham 022D,68,54,73,33,38
E01000097,Barking and Dagenham 005D,29,30,27,42,19
E01000098,Barking and Dagenham 005E,42,58,32,22,27
E01000099,Barking and Dagenham 005F,34,26,33,28,38
E01000100,Barking and Dagenham 004B,33,27,26,21,21
E01000101,Barking and Dagenham 004C,24,29,49,33,23
E01000102,Barking and Dagenham 007G,31,14,31,25,25
E01000103,Barking and Dagenham 014A,34,67,33,21,30
E01000104,Barking and Dagenham 014B,54,67,66,47,41
E01000105,Barking and Dagenham 014C,79,93,76,61,59
E01000106,Barking and Dagenham 014D,64,101,55,66,53
E01000107,Barking and Dagenham 010C,23,23,15,7,15
E01000108,Barking and Dagenham 010D,37,39,28,27,33
E01000109,Barking and Dagenham 004D,34,27,29,26,27
E01000110,Barking and Dagenham 002C,20,37,14,14,15
E01000111,Barking and Dagenham 002D,22,36,29,22,31
E01000112,Barking and Dagenham 002E,21,37,22,33,18
E01000113,Barking and Dagenham 002F,55,52,48,30,40
E01000114,Barking and Dagenham 004E,66,65,63,34,51
E01000115,Barnet 009A,12,10,3,7,10
E01000116,Barnet 009B,13,11,14,9,15
E01000117,Barnet 010A,8,17,9,21,14
E01000118,Barnet 010B,14,16,9,12,15
E01000119,Barnet 009C,9,13,13,7,10
E01000120,Barnet 009D,5,10,9,5,4
E01000121,Barnet 010C,27,37,22,18,34
E01000122,Barnet 009E,5,9,14,6,6
E01000123,Barnet 010D,14,21,13,13,16
E01000124,Barnet 010E,33,39,34,22,27
E01000125,Barnet 024A,72,73,71,73,70
E01000126,Barnet 026A,20,38,32,23,23
E01000127,Barnet 024B,27,28,16,18,18
E01000128,Barnet 024C,31,21,25,19,18
E01000129,Barnet 024D,93,64,78,74,71
E01000130,Barnet 021A,25,32,26,16,25
E01000131,Barnet 024E,14,10,14,16,18
E01000132,Barnet 021B,25,33,34,30,19
E01000133,Barnet 021C,36,22,25,25,31
E01000134,Barnet 024F,26,24,22,12,20
E01000135,Barnet 038A,10,6,5,9,23
E01000136,Barnet 038B,11,9,5,7,7
E01000137,Barnet 041A,24,16,22,19,27
E01000138,Barnet 040A,15,14,25,16,10
E01000139,Barnet 041B,13,18,22,22,8
E01000140,Barnet 041C,24,15,13,12,14
E01000141,Barnet 039A,123,129,124,88,89
E01000142,Barnet 040B,31,22,17,18,20
E01000143,Barnet 041D,28,37,22,26,24
E01000144,Barnet 038C,25,34,40,32,42
E01000145,Barnet 037A,11,5,9,15,14
E01000146,Barnet 038D,54,63,68,56,55
E01000147,Barnet 030A,7,17,15,13,14
E01000148,Barnet 030B,25,35,34,35,32
E01000149,Barnet 030C,68,73,69,69,47
E01000150,Barnet 036A,35,33,25,23,16
E01000151,Barnet 026B,36,41,45,47,39
E01000152,Barnet 026C,33,30,28,27,40
E01000153,Barnet 026D,47,34,39,26,25
E01000154,Barnet 026E,31,35,25,13,12
E01000155,Barnet 030D,37,19,37,17,27
E01000156,Barnet 022A,21,19,13,13,18
E01000157,Barnet 022B,14,10,12,12,12
E01000158,Barnet 015A,24,35,16,23,27
E01000159,Barnet 015B,12,20,20,15,15
E01000160,Barnet 015C,31,29,38,29,25
E01000161,Barnet 015D,21,32,21,30,24
E01000162,Barnet 015E,35,38,28,24,31
E01000163,Barnet 022C,31,28,14,27,21
E01000164,Barnet 022D,53,48,52,48,40
E01000165,Barnet 022E,22,18,14,9,7
E01000166,Barnet 003A,9,23,14,8,11
E01000167,Barnet 002A,17,17,20,20,21
E01000168,Barnet 003B,11,5,9,7,7
E01000169,Barnet 003C,16,11,8,8,8
E01000170,Barnet 006A,25,29,18,30,18
E01000171,Barnet 006B,58,45,53,54,38
E01000172,Barnet 003D,10,9,9,9,8
E01000173,Barnet 006C,12,11,15,5,9
E01000174,Barnet 006D,36,19,28,31,23
E01000175,Barnet 006E,13,12,4,7,13
E01000176,Barnet 027A,18,22,18,21,26
E01000177,Barnet 029A,8,17,10,15,13
E01000178,Barnet 027B,32,18,17,8,9
E01000179,Barnet 029B,12,13,12,11,6
E01000180,Barnet 029C,13,7,14,7,15
E01000181,Barnet 029D,14,20,15,31,14
E01000182,Barnet 029E,14,13,15,19,11
E01000183,Barnet 033A,2,7,7,9,6
E01000184,Barnet 027C,35,26,28,28,13
E01000185,Barnet 029F,26,11,10,16,33
E01000186,Barnet 014A,9,7,6,5,7
E01000187,Barnet 014B,15,17,14,11,18
E01000188,Barnet 014C,10,27,15,14,14
E01000189,Barnet 014D,35,31,42,33,34
E01000190,Barnet 014E,9,8,11,4,6
E01000191,Barnet 014F,7,11,9,5,7
E01000192,Barnet 018A,48,40,51,43,37
E01000193,Barnet 018B,40,42,63,55,53
E01000194,Barnet 018C,35,35,43,33,39
E01000195,Barnet 013A,27,30,26,24,14
E01000196,Barnet 028A,34,24,26,23,46
E01000197,Barnet 023A,8,16,19,21,10
E01000198,Barnet 025A,13,5,8,7,7
E01000199,Barnet 025B,5,4,6,3,5
E01000200,Barnet 028B,5,14,12,5,11
E01000201,Barnet 028C,12,8,7,7,15
E01000202,Barnet 028D,11,11,10,4,6
E01000203,Barnet 028E,32,18,17,13,16
E01000204,Barnet 025C,3,13,20,15,12
E01000205,Barnet 035A,3,8,5,5,10
E01000206,Barnet 033B,15,7,7,12,10
E01000207,Barnet 033C,15,13,8,10,6
E01000208,Barnet 033D,7,8,3,8,5
E01000209,Barnet 035B,3,4,4,3,12
E01000210,Barnet 033E,21,5,9,8,9
E01000211,Barnet 035C,36,16,22,26,24
E01000212,Barnet 035D,10,7,8,9,7
E01000213,Barnet 033F,3,2,6,2,5
E01000214,Barnet 038E,21,9,16,15,19
E01000215,Barnet 037B,21,12,9,19,8
E01000216,Barnet 035E,18,15,8,6,6
E01000217,Barnet 035F,8,12,7,10,5
E01000218,Barnet 037C,17,18,12,17,16
E01000219,Barnet 037D,15,11,13,11,16
E01000220,Barnet 037E,16,7,17,16,13
E01000221,Barnet 039B,35,50,50,58,48
E01000222,Barnet 040C,12,18,27,12,32
E01000223,Barnet 039C,38,29,40,33,25
E01000224,Barnet 040D,9,14,7,6,12
E01000225,Barnet 037F,4,3,2,5,7
E01000226,Barnet 018D,42,43,23,20,22
E01000227,Barnet 018E,15,14,13,13,10
E01000228,Barnet 007A,18,13,20,14,23
E01000229,Barnet 013B,28,29,32,6,15
E01000230,Barnet 013C,12,9,10,7,13
E01000231,Barnet 013D,18,14,21,22,23
E01000232,Barnet 013E,8,9,16,16,9
E01000233,Barnet 013F,21,15,23,19,21
E01000234,Barnet 021D,10,19,12,12,6
E01000235,Barnet 021E,52,47,26,33,33
E01000236,Barnet 034A,24,15,13,16,10
E01000237,Barnet 032A,38,38,31,33,29
E01000238,Barnet 034B,12,18,8,9,11
E01000239,Barnet 031A,40,35,20,20,26
E01000240,Barnet 031B,22,18,15,22,13
E01000241,Barnet 031C,20,24,9,7,12
E01000242,Barnet 032B,6,17,4,13,21
E01000243,Barnet 032C,43,46,29,23,30
E01000244,Barnet 032D,23,36,26,20,22
E01000245,Barnet 032E,67,58,45,33,28
E01000246,Barnet 002B,12,13,7,2,3
E01000247,Barnet 002C,14,17,12,12,12
E01000248,Barnet 001A,25,19,19,17,15
E01000249,Barnet 001B,8,4,5,9,11
E01000250,Barnet 001C,58,82,71,71,62
E01000251,Barnet 002D,33,24,23,26,17
E01000252,Barnet 002E,11,13,17,8,10
E01000253,Barnet 007B,12,6,11,13,13
E01000254,Barnet 001D,16,9,6,8,5
E01000255,Barnet 017A,28,23,12,23,18
E01000256,Barnet 016A,26,22,21,7,12
E01000257,Barnet 017B,30,32,29,33,25
E01000258,Barnet 016B,14,15,17,26,22
E01000259,Barnet 025D,26,30,21,27,14
E01000260,Barnet 025E,34,35,19,34,13
E01000261,Barnet 017C,5,6,10,4,4
E01000262,Barnet 017D,31,26,14,14,10
E01000263,Barnet 016C,2,4,0,4,3
E01000264,Barnet 016D,43,36,53,46,36
E01000265,Barnet 011A,20,18,16,27,24
E01000266,Barnet 011B,4,13,5,6,5
E01000267,Barnet 005A,3,11,7,10,2
E01000268,Barnet 005B,49,42,43,38,56
E01000269,Barnet 005C,8,13,12,22,10
E01000270,Barnet 005D,5,9,1,9,11
E01000271,Barnet 008A,6,11,18,10,12
E01000272,Barnet 008B,8,4,3,6,8
E01000273,Barnet 008C,31,18,21,13,21
E01000274,Barnet 011C,35,27,37,27,23
E01000275,Barnet 012A,13,12,10,7,10
E01000276,Barnet 020A,7,8,4,2,0
E01000277,Barnet 012B,20,22,8,8,16
E01000278,Barnet 020B,3,1,5,5,2
E01000279,Barnet 007C,15,12,19,14,8
E01000280,Barnet 007D,5,4,5,2,14
E01000281,Barnet 008D,23,49,66,38,38
E01000282,Barnet 008E,18,9,16,11,11
E01000283,Barnet 012C,7,3,2,1,0
E01000284,Barnet 012D,22,21,30,21,8
E01000285,Barnet 004A,10,24,16,12,21
E01000286,Barnet 007E,17,12,10,12,13
E01000287,Barnet 004B,38,34,33,24,18
E01000288,Barnet 004C,25,27,22,10,13
E01000289,Barnet 004D,52,64,64,54,45
E01000290,Barnet 007F,16,15,11,13,25
E01000291,Barnet 004E,39,34,25,37,31
E01000292,Barnet 001E,15,17,13,15,26
E01000293,Barnet 001F,31,34,13,22,15
E01000294,Barnet 004F,69,60,47,32,38
E01000295,Barnet 023B,6,10,6,10,8
E01000296,Barnet 023C,34,39,37,19,23
E01000297,Barnet 027D,10,19,12,9,9
E01000298,Barnet 023D,45,32,51,22,36
E01000299,Barnet 019A,55,69,62,63,48
E01000300,Barnet 019B,9,5,10,10,11
E01000301,Barnet 020C,4,9,8,7,2
E01000302,Barnet 019C,21,24,15,29,19
E01000303,Barnet 020D,1,6,3,5,4
E01000304,Barnet 020E,12,7,9,6,9
E01000305,Barnet 036B,36,32,48,28,31
E01000306,Barnet 036C,13,14,8,9,5
E01000307,Barnet 039D,78,65,52,52,35
E01000308,Barnet 036D,48,35,45,25,28
E01000309,Barnet 031D,13,10,12,15,14
E01000310,Barnet 034C,81,87,46,43,37
E01000311,Barnet 034D,10,13,5,5,14
E01000312,Barnet 036E,29,47,25,23,17
E01000313,Barnet 036F,17,23,24,22,22
E01000314,Barnet 032F,35,10,17,27,24
E01000315,Barnet 022F,29,38,38,28,26
E01000316,Barnet 027E,48,39,48,40,41
E01000317,Barnet 019D,11,8,20,8,13
E01000318,Barnet 019E,8,21,14,12,17
E01000319,Barnet 027F,7,7,8,8,12
E01000320,Barnet 011D,11,2,15,13,6
E01000321,Barnet 012E,39,28,25,14,22
E01000322,Barnet 011E,17,17,17,12,12
E01000323,Barnet 019F,74,51,48,44,43
E01000324,Barnet 015F,15,21,16,17,26
E01000325,Bexley 014A,12,13,10,7,6
E01000326,Bexley 014B,12,9,10,10,14
E01000327,Bexley 017A,7,12,10,9,5
E01000328,Bexley 017B,9,12,6,11,13
E01000329,Bexley 017C,29,21,33,24,21
E01000330,Bexley 017D,46,38,30,31,52
E01000331,Bexley 017E,28,32,17,23,18
E01000332,Bexley 005A,20,34,22,27,17
E01000333,Bexley 003A,49,43,54,43,33
E01000334,Bexley 006A,20,17,15,10,10
E01000335,Bexley 003B,46,45,49,43,42
E01000336,Bexley 003C,50,70,49,36,44
E01000337,Bexley 003D,18,22,27,23,22
E01000338,Bexley 003E,38,35,29,23,18
E01000339,Bexley 025A,9,10,8,9,11
E01000340,Bexley 018A,15,18,11,14,8
E01000341,Bexley 022A,11,7,8,5,3
E01000342,Bexley 022B,10,17,10,7,10
E01000343,Bexley 022C,12,7,15,13,7
E01000344,Bexley 025B,9,6,9,6,10
E01000345,Bexley 022D,5,10,11,2,2
E01000346,Bexley 021A,9,7,6,5,9
E01000347,Bexley 021B,15,16,13,7,12
E01000348,Bexley 020A,8,9,6,3,2
E01000349,Bexley 020B,8,10,7,4,3
E01000350,Bexley 021C,6,14,11,8,8
E01000351,Bexley 024A,9,2,7,9,10
E01000352,Bexley 021D,6,28,25,23,23
E01000353,Bexley 011A,6,0,9,5,8
E01000354,Bexley 011B,9,18,23,25,11
E01000355,Bexley 011C,7,6,4,4,10
E01000356,Bexley 009A,30,25,12,12,10
E01000357,Bexley 009B,6,1,5,10,3
E01000358,Bexley 011D,16,24,9,14,9
E01000359,Bexley 009C,4,10,5,5,1
E01000360,Bexley 015A,140,162,149,125,100
E01000361,Bexley 020C,6,8,6,6,7
E01000362,Bexley 015B,114,128,114,96,98
E01000363,Bexley 020D,3,1,8,5,8
E01000364,Bexley 023A,8,10,5,6,10
E01000365,Bexley 015C,21,30,18,10,26
E01000366,Bexley 015D,19,19,11,5,12
E01000367,Bexley 010A,45,39,33,28,31
E01000368,Bexley 010B,22,31,29,23,18
E01000369,Bexley 014C,16,21,21,7,12
E01000370,Bexley 014D,22,9,12,11,9
E01000371,Bexley 014E,8,10,11,7,18
E01000372,Bexley 010C,29,48,32,19,25
E01000373,Bexley 008A,66,40,52,38,27
E01000374,Bexley 019A,30,41,29,32,34
E01000375,Bexley 019B,18,20,21,10,12
E01000376,Bexley 019C,14,17,10,9,17
E01000377,Bexley 019D,11,11,14,8,11
E01000378,Bexley 019E,97,51,35,36,46
E01000379,Bexley 019F,17,19,13,21,14
E01000380,Bexley 010D,21,28,22,20,15
E01000381,Bexley 028A,15,17,24,18,8
E01000382,Bexley 027A,28,10,14,4,13
E01000383,Bexley 028B,22,19,27,14,8
E01000384,Bexley 027B,9,16,22,11,12
E01000385,Bexley 028C,18,27,32,39,43
E01000386,Bexley 028D,36,38,34,26,23
E01000387,Bexley 027C,3,6,5,10,18
E01000388,Bexley 016A,9,12,11,4,10
E01000389,Bexley 020E,12,28,13,17,24
E01000390,Bexley 020F,13,14,14,9,9
E01000391,Bexley 021E,4,24,16,6,16
E01000392,Bexley 016B,44,41,40,57,42
E01000393,Bexley 020G,20,22,10,11,9
E01000394,Bexley 015E,14,15,7,14,14
E01000395,Bexley 018B,5,13,8,10,7
E01000396,Bexley 018C,7,10,7,3,4
E01000397,Bexley 012A,34,49,33,32,40
E01000398,Bexley 012B,10,12,10,13,20
E01000399,Bexley 012C,14,22,13,13,12
E01000400,Bexley 012D,9,21,19,10,14
E01000401,Bexley 013A,24,33,36,18,12
E01000402,Bexley 005B,23,20,22,16,21
E01000403,Bexley 004A,114,111,97,71,73
E01000404,Bexley 004B,88,92,70,43,49
E01000405,Bexley 004C,18,32,24,16,31
E01000406,Bexley 005C,24,26,22,27,27
E01000407,Bexley 005D,32,18,12,12,13
E01000408,Bexley 004D,26,40,19,33,25
E01000409,Bexley 016C,4,4,5,4,5
E01000410,Bexley 018D,23,20,11,19,14
E01000411,Bexley 016D,6,14,5,7,7
E01000412,Bexley 018E,18,23,16,17,10
E01000413,Bexley 018F,6,19,10,16,8
E01000414,Bexley 016E,66,54,68,52,34
E01000415,Bexley 016F,7,1,8,5,7
E01000416,Bexley 002A,29,27,27,28,31
E01000417,Bexley 006B,19,20,15,14,13
E01000418,Bexley 002B,19,11,19,10,24
E01000419,Bexley 006C,8,6,6,5,11
E01000420,Bexley 006D,6,19,17,2,5
E01000421,Bexley 009D,5,4,6,5,2
E01000422,Bexley 002C,49,56,27,28,38
E01000423,Bexley 025C,4,1,11,1,3
E01000424,Bexley 026A,7,12,11,11,6
E01000425,Bexley 025D,6,5,4,6,6
E01000426,Bexley 026B,8,7,5,8,3
E01000427,Bexley 026C,12,11,13,17,19
E01000428,Bexley 027D,40,53,42,40,19
E01000429,Bexley 008B,48,68,49,48,39
E01000430,Bexley 008C,24,20,25,23,19
E01000431,Bexley 008D,34,65,42,40,42
E01000432,Bexley 008E,43,27,36,30,35
E01000433,Bexley 008F,79,81,65,44,58
E01000434,Bexley 008G,34,32,45,26,40
E01000435,Bexley 010E,25,19,34,28,27
E01000436,Bexley 011E,10,6,15,5,4
E01000437,Bexley 007A,11,19,9,10,10
E01000438,Bexley 007B,14,16,21,8,22
E01000439,Bexley 007C,55,61,40,38,30
E01000440,Bexley 007D,5,13,5,5,8
E01000441,Bexley 007E,40,44,42,26,25
E01000442,Bexley 006E,12,14,8,13,9
E01000443,Bexley 024B,8,11,10,5,12
E01000444,Bexley 023B,4,7,10,1,6
E01000445,Bexley 024C,12,14,8,10,7
E01000446,Bexley 024D,9,13,9,7,15
E01000447,Bexley 023C,52,55,34,33,34
E01000448,Bexley 023D,2,10,2,2,10
E01000449,Bexley 023E,6,3,2,3,6
E01000450,Bexley 009E,27,29,32,17,20
E01000451,Bexley 009F,10,8,12,14,25
E01000452,Bexley 009G,6,4,10,7,5
E01000453,Bexley 013B,17,26,18,15,11
E01000454,Bexley 013C,16,29,18,10,11
E01000455,Bexley 013D,17,10,24,16,13
E01000456,Bexley 013E,5,5,13,7,7
E01000457,Bexley 026D,72,32,58,29,46
E01000458,Bexley 027E,1,7,4,4,1
E01000459,Bexley 027F,14,27,23,30,23
E01000460,Bexley 022E,4,7,7,4,3
E01000461,Bexley 024E,14,10,8,10,4
E01000462,Bexley 026E,31,33,27,36,25
E01000463,Bexley 025E,6,5,12,5,3
E01000464,Bexley 002D,12,26,20,30,33
E01000465,Bexley 002E,25,24,29,25,32
E01000466,Bexley 001A,34,36,40,30,61
E01000467,Bexley 001B,21,41,28,14,36
E01000468,Bexley 001C,51,52,42,34,61
E01000469,Bexley 001D,12,39,24,18,23
E01000470,Bexley 002F,45,69,42,37,23
E01000471,Brent 026A,27,19,13,23,16
E01000472,Brent 029A,28,49,58,40,43
E01000473,Brent 029B,41,47,54,73,59
E01000474,Brent 026B,21,24,31,16,33
E01000475,Brent 029C,34,49,43,41,40
E01000476,Brent 026C,18,17,33,29,16
E01000477,Brent 026D,35,34,47,52,56
E01000478,Brent 029D,30,31,34,45,36
E01000479,Brent 009A,13,16,15,19,23
E01000480,Brent 006A,17,23,13,16,8
E01000481,Brent 009B,27,26,15,19,25
E01000482,Brent 009C,92,101,126,99,76
E01000483,Brent 009D,46,48,54,55,39
E01000484,Brent 006B,34,40,27,27,22
E01000485,Brent 006C,16,20,18,9,13
E01000486,Brent 006D,11,5,4,8,8
E01000487,Brent 006E,20,34,28,17,26
E01000488,Brent 022A,11,5,29,25,12
E01000489,Brent 030A,22,22,26,29,25
E01000490,Brent 023A,44,45,56,44,36
E01000491,Brent 030B,10,23,21,24,10
E01000492,Brent 030C,5,11,8,11,8
E01000493,Brent 030D,7,21,13,17,17
E01000494,Brent 023B,15,18,21,18,31
E01000495,Brent 023C,33,24,21,43,29
E01000496,Brent 010A,31,13,29,24,24
E01000497,Brent 011A,34,46,39,49,38
E01000498,Brent 010B,27,24,16,25,17
E01000499,Brent 011B,44,33,30,46,31
E01000500,Brent 010C,7,20,12,14,18
E01000501,Brent 011C,31,33,31,45,22
E01000502,Brent 011D,21,25,27,27,32
E01000503,Brent 011E,20,28,25,30,20
E01000504,Brent 018A,26,46,39,23,15
E01000505,Brent 018B,28,10,17,14,13
E01000506,Brent 014A,53,41,42,61,43
E01000507,Brent 018C,18,25,23,18,18
E01000508,Brent 025A,75,99,83,100,89
E01000509,Brent 014B,9,15,24,31,18
E01000510,Brent 014C,134,115,90,95,94
E01000511,Brent 014D,26,34,33,20,16
E01000512,Brent 018D,18,22,25,28,22
E01000513,Brent 002A,23,15,14,15,16
E01000514,Brent 002B,14,26,20,15,16
E01000515,Brent 003A,62,44,33,39,56
E01000516,Brent 002C,55,39,48,58,40
E01000517,Brent 003B,18,19,15,17,17
E01000518,Brent 005A,19,26,26,17,21
E01000519,Brent 005B,26,18,17,28,31
E01000520,Brent 002D,22,21,30,26,30
E01000521,Brent 025B,95,114,114,121,99
E01000522,Brent 025C,33,39,36,53,28
E01000523,Brent 031A,73,96,100,91,81
E01000524,Brent 031B,88,97,133,130,122
E01000525,Brent 031C,38,49,45,39,41
E01000526,Brent 025D,63,68,86,72,52
E01000527,Brent 025E,39,51,28,54,44
E01000528,Brent 025F,27,26,29,60,28
E01000529,Brent 031D,105,107,145,176,170
E01000530,Brent 033A,19,24,29,19,21
E01000531,Brent 033B,31,49,51,31,36
E01000532,Brent 033C,35,37,34,25,19
E01000533,Brent 031E,76,78,88,86,59
E01000534,Brent 033D,24,11,20,22,17
E01000535,Brent 031F,29,34,54,49,50
E01000536,Brent 004A,10,14,29,26,31
E01000537,Brent 003C,14,20,8,5,20
E01000538,Brent 004B,12,19,12,10,13
E01000539,Brent 004C,7,3,3,7,11
E01000540,Brent 004D,6,13,4,6,4
E01000541,Brent 004E,26,24,13,34,18
E01000542,Brent 003D,18,21,9,21,6
E01000543,Brent 003E,47,50,34,41,33
E01000544,Brent 034A,47,42,53,37,19
E01000545,Brent 028A,73,100,86,73,59
E01000546,Brent 028B,22,29,26,28,31
E01000547,Brent 028C,23,27,21,26,21
E01000548,Brent 028D,100,83,110,101,116
E01000549,Brent 028E,30,13,14,17,17
E01000550,Brent 034B,38,60,63,44,47
E01000551,Brent 034C,48,76,56,56,45
E01000552,Brent 034D,55,32,40,41,36
E01000553,Brent 015A,39,50,55,53,61
E01000554,Brent 015B,21,20,22,26,19
E01000555,Brent 015C,13,13,12,14,7
E01000556,Brent 015D,54,65,75,71,76
E01000557,Brent 015E,23,24,22,28,15
E01000558,Brent 015F,30,35,31,30,27
E01000559,Brent 018E,29,21,29,32,23
E01000560,Brent 023D,19,19,19,19,24
E01000561,Brent 023E,27,20,22,21,22
E01000562,Brent 008A,11,10,13,14,11
E01000563,Brent 008B,19,22,16,19,13
E01000564,Brent 013A,36,35,29,34,31
E01000565,Brent 013B,30,23,39,40,13
E01000566,Brent 008C,4,9,13,15,7
E01000567,Brent 016A,9,13,17,11,12
E01000568,Brent 008D,67,65,78,79,70
E01000569,Brent 008E,7,14,16,6,20
E01000570,Brent 012A,24,25,25,26,24
E01000571,Brent 012B,19,29,32,32,22
E01000572,Brent 007A,5,11,16,6,10
E01000573,Brent 007B,14,20,18,18,17
E01000574,Brent 007C,11,18,20,11,16
E01000575,Brent 007D,26,41,38,37,33
E01000576,Brent 012C,34,22,30,30,14
E01000577,Brent 007E,46,50,48,45,41
E01000578,Brent 012D,55,50,43,40,51
E01000579,Brent 032A,26,18,12,15,16
E01000580,Brent 032B,47,44,53,36,31
E01000581,Brent 030E,16,30,25,33,22
E01000582,Brent 032C,23,27,25,13,19
E01000583,Brent 032D,83,63,80,94,71
E01000584,Brent 033E,11,16,24,17,7
E01000585,Brent 033F,26,14,25,16,15
E01000586,Brent 032E,55,77,75,85,62
