Codes,Names,theft_year_minus_3,theft_year_minus_2,theft_year_minus_1,theft_now,theft_2012
E01000098,Barking and Dagenham 005E,33,63,50,49,40
E01000099,Barking and Dagenham 005F,35,44,44,60,41
E01000100,Barking and Dagenham 004B,31,28,18,33,24
E01000101,Barking and Dagenham 004C,27,23,24,39,27
E01000102,Barking and Dagenham 007G,32,20,20,36,28
E01000103,Barking and Dagenham 014A,58,36,26,43,25
E01000104,Barking and Dagenham 014B,76,67,47,71,73
E01000105,Barking and Dagenham 014C,124,103,106,107,120
E01000106,Barking and Dagenham 014D,86,65,49,50,46
E01000107,Barking and Dagenham 010C,28,33,14,19,19
E01000108,Barking and Dagenham 010D,37,34,19,35,40
E01000109,Barking and Dagenham 004D,23,42,27,47,33
E01000110,Barking and Dagenham 002C,40,44,42,30,20
E01000111,Barking and Dagenham 002D,56,66,49,49,43
E01000112,Barking and Dagenham 002E,47,42,54,68,60
E01000113,Barking and Dagenham 002F,60,45,49,53,61
E01000114,Barking and Dagenham 004E,58,72,56,72,56
E01000115,Barnet 009A,18,14,14,27,15
E01000116,Barnet 009B,19,36,33,33,33
E01000117,Barnet 010A,37,31,33,32,45
E01000118,Barnet 010B,28,21,29,17,20
E01000119,Barnet 009C,14,12,13,24,22
E01000120,Barnet 009D,19,19,21,35,17
E01000121,Barnet 010C,12,17,13,13,15
E01000122,Barnet 009E,26,15,20,20,23
E01000123,Barnet 010D,35,40,36,28,32
E01000124,Barnet 010E,69,66,73,62,86
E01000125,Barnet 024A,52,61,54,70,68
E01000126,Barnet 026A,15,31,24,22,16
E01000127,Barnet 024B,20,30,16,22,16
E01000128,Barnet 024C,33,29,24,32,20
E01000129,Barnet 024D,109,94,115,75,99
E01000130,Barnet 021A,21,29,21,21,12
E01000131,Barnet 024E,20,24,22,26,24
E01000132,Barnet 021B,20,22,16,12,17
E01000133,Barnet 021C,23,26,18,17,12
E01000134,Barnet 024F,18,16,22,26,21
E01000135,Barnet 038A,23,39,29,33,31
E01000136,Barnet 038B,46,47,71,57,25
E01000137,Barnet 041A,32,33,29,20,24
E01000138,Barnet 040A,28,26,35,32,35
E01000139,Barnet 041B,41,47,48,36,47
E01000140,Barnet 041C,60,27,35,37,31
E01000141,Barnet 039A,178,180,193,203,180
E01000142,Barnet 040B,33,39,32,50,25
E01000143,Barnet 041D,37,33,41,58,63
E01000144,Barnet 038C,80,69,55,67,59
E01000145,Barnet 037A,18,37,28,22,26
E01000146,Barnet 038D,252,217,206,180,231
E01000147,Barnet 030A,16,22,17,27,16
E01000148,Barnet 030B,28,29,47,27,38
E01000149,Barnet 030C,53,52,77,77,92
E01000150,Barnet 036A,108,68,86,138,88
E01000151,Barnet 026B,23,28,21,22,20
E01000152,Barnet 026C,23,24,31,24,16
E01000153,Barnet 026D,23,22,31,23,20
E01000154,Barnet 026E,25,13,19,18,19
